location_num,x,y,district,province,images,year,month,day,avg_certainty,avg_percent_coverage,avg_percent_coverage_high,n_labelers,water_source_mode,log_coverage
5178899,29.07105180579273,-15.284093625127532,Rufunsa,Lusaka,1,2023,7,10,1,0,0,1,FALSE,0
5179123,27.69300049314996,-15.301643567266852,Shibuyunji,Central,2,2023,9,11,1,0,0,1,FALSE,0
5179223,28.661519140462502,-15.296546211270824,Chongwe,Lusaka,3,2023,7,31,4.666666666666667,0.14743547274849697,0.11924519307887826,1,TRUE,0.13752942847252111
5179974,22.676143851066083,-15.287991960047954,Kalabo,Western,1,2018,6,27,1,0,0,1,FALSE,0
5179991,23.14996477128549,-15.296659275120806,Mongu,Western,10,2022,10,6,2.4,0.01388870145642368,0.00886366258186159,1,FALSE,0.013793137267421538
5180501,27.49748424448987,-15.338326579495574,Mumbwa,Central,3,2020,10,25,1,0,0,1,FALSE,0
5180920,28.242760716234223,-15.344460361031476,Lusaka,Lusaka,10,2020,8,28,5,2.3428830740438134,1.7349077906077095,1,TRUE,1.2068336304708494
5182093,29.03460603196964,-15.365752185647658,Rufunsa,Lusaka,2,2023,7,10,1,0,0,1,FALSE,0
5182185,24.28380389944016,-15.367516238426024,Luampa,Western,2,2020,9,20,1,0,0,1,TRUE,0
5182274,27.25531568322979,-15.383939276146766,Mumbwa,Central,2,2024,6,18,1,0,0,1,FALSE,0
5182291,27.413727580867025,-15.383701224207115,Mumbwa,Central,1,2020,10,25,1,0,0,1,FALSE,0
5183104,22.63730876415122,-15.368401616725867,Kalabo,Western,2,2023,7,30,2.5,0.06703389541646335,0.06703389541646335,1,TRUE,0.06488273884079387
5183533,27.34855971396889,-15.419975849172928,Mumbwa,Central,1,2020,9,22,1,0,0,1,FALSE,0
5184100,27.786649684227697,-15.436936748515654,Shibuyunji,Central,2,2019,7,1,1,0,0,1,FALSE,0
5184303,26.817291143854607,-15.447296697494776,Itezhi-Tezhi,Southern,1,2019,8,8,2,0.091373012665765,0,1,FALSE,0.08743654820182341
5184381,28.112881987465624,-15.44457987761467,Chilanga,Lusaka,6,2024,7,11,4.166666666666667,0.6673095382986051,0.4858872322517231,1,FALSE,0.5112112723731694
5184870,28.05705637512893,-15.46293203600216,Chilanga,Lusaka,4,2016,8,12,3.5,5.744869460462719,5.6497094123980816,1,FALSE,1.9087821359457833
5185003,23.668267383705523,-15.449433701871074,Mongu,Western,3,2017,9,17,1,0,0,5,FALSE,0
5186116,26.02468860382832,-15.517545183195022,Itezhi-Tezhi,Southern,1,2017,9,1,2,0.0232011585190404,0,1,FALSE,0.02293610353267623
